"Date","Price","Open","High","Low","Vol.","Change %"
"May 16, 2021","114.76","112.38","115.71","112.38","14.17K","0.67%"
"May 12, 2021","114.00","115.71","115.71","113.33","21.20K","-0.08%"
"May 11, 2021","114.10","112.67","117.05","112.38","21.16K","1.27%"
"May 09, 2021","112.67","110.10","113.33","109.52","14.03K","2.34%"
"May 06, 2021","110.10","109.24","110.95","108.29","17.84K","1.31%"
"May 05, 2021","108.67","109.43","109.43","107.62","13.74K","0.18%"
"May 04, 2021","108.48","108.57","109.52","108.19","7.38K","0.00%"
"May 03, 2021","108.48","108.10","109.14","108.10","5.86K","-0.35%"
"May 02, 2021","108.86","107.81","109.43","107.81","2.68K","0.97%"
"Apr 29, 2021","107.81","109.52","110.19","106.86","12.65K","-0.61%"
"Apr 28, 2021","108.48","107.71","109.52","107.71","4.45K","-2.32%"
"Apr 27, 2021","111.05","106.00","111.43","106.00","11.60K","2.28%"
"Apr 26, 2021","108.57","110.00","110.00","108.38","17.88K","-1.04%"
"Apr 25, 2021","109.71","108.95","110.00","108.86","5.86K","1.14%"
"Apr 22, 2021","108.48","111.05","111.05","108.29","6.37K","-1.21%"
"Apr 21, 2021","109.81","108.48","110.00","107.71","9.47K","0.79%"
"Apr 20, 2021","108.95","108.57","109.43","107.24","9.03K","1.42%"
"Apr 19, 2021","107.43","107.62","108.38","106.10","7.05K","-0.18%"
"Apr 18, 2021","107.62","108.38","108.38","105.62","4.18K","0.44%"
"Apr 15, 2021","107.14","112.19","112.19","106.48","22.66K","-1.32%"
"Apr 13, 2021","108.57","105.71","109.33","105.71","2.87K","1.24%"
"Apr 12, 2021","107.24","103.81","109.24","103.81","5.49K","3.30%"
"Apr 11, 2021","103.81","106.67","106.67","103.05","2.28K","-2.94%"
"Apr 08, 2021","106.95","105.24","108.48","105.24","0.80K","-2.35%"
"Apr 07, 2021","109.52","106.00","111.14","105.71","3.02K","3.70%"
"Apr 06, 2021","105.62","108.76","111.43","101.90","9.09K","-2.89%"
"Apr 05, 2021","108.76","106.67","110.48","106.19","3.79K","7.94%"
"Apr 04, 2021","100.76","100.00","106.95","100.00","15.49K","-5.79%"
"Apr 01, 2021","106.95","104.76","108.57","104.76","7.39K","-1.23%"
"Mar 31, 2021","108.29","109.62","110.48","107.81","7.33K","-2.07%"
"Mar 29, 2021","110.57","110.48","112.38","110.19","9.93K","0.43%"
"Mar 28, 2021","110.10","110.29","111.33","110.00","13.13K","-0.43%"
"Mar 25, 2021","110.57","110.67","110.76","110.57","1.97K","0.09%"
"Mar 24, 2021","110.48","110.67","112.29","110.38","15.05K","-0.60%"
"Mar 23, 2021","111.14","111.62","112.19","110.95","6.57K","-0.26%"
"Mar 22, 2021","111.43","110.67","113.24","110.48","6.14K","0.95%"
"Mar 21, 2021","110.38","112.38","114.19","109.81","28.57K","-2.36%"
"Mar 18, 2021","113.05","120.00","120.00","112.38","9.20K","-4.20%"
"Mar 16, 2021","118.00","114.29","119.33","113.71","131.52K","5.36%"
"Mar 15, 2021","112.00","111.71","112.67","111.71","4.95K","0.51%"
"Mar 14, 2021","111.43","114.29","114.29","110.76","2.22K","0.26%"
"Mar 11, 2021","111.14","111.71","112.57","110.67","6.29K","-0.51%"
"Mar 10, 2021","111.71","113.33","113.33","111.33","18.68K","-0.17%"
"Mar 09, 2021","111.90","113.14","114.00","111.24","25.85K","-1.76%"
"Mar 08, 2021","113.90","115.24","115.24","112.48","10.50K","0.84%"
"Mar 07, 2021","112.95","114.29","116.00","112.10","10.29K","-0.84%"
"Mar 04, 2021","113.90","113.33","114.29","111.81","11.81K","0.50%"
